metric,budget_minimum,budget_maximum,candidate_policy_id,baseline_policy_id,patient_count,mean_candidate_normalized_auc,mean_baseline_normalized_auc,mean_paired_difference,bootstrap_95_lower,bootstrap_95_upper,wins,ties,losses,two_sided_exact_sign_test_p
patient_trial_status_recovery_normalized_auc,0,5,clarifytrial_rule_v1,random_order_expectation,30,0.9693333333333334,0.9684444444444444,0.0008888888888888946,0.0,0.002666666666666684,1,29,0,1.0
patient_trial_status_recovery_normalized_auc,0,5,clarifytrial_exact_coverage_v3,clarifytrial_rule_v1,30,0.9693333333333334,0.9693333333333334,0.0,0.0,0.0,0,30,0,1.0
