suite,evaluation_distribution,budget,baseline_policy_id,mean_difference,ci_95_lower,ci_95_upper,exact_sign_p,wins,ties,losses,cluster_unit,cluster_count,inference_scope
public_declared_value_grid,heldout_kernel,2,clarifytrial_rule_v1,-0.01524025676532185,,,,2,1,3,group_mask_cell,6,none_exhaustive_declared_grid
public_declared_value_grid,uniform_grid,2,authored_order,0.027493055555555552,,,,2,3,1,group_mask_cell,6,none_exhaustive_declared_grid
public_declared_value_grid,uniform_grid,2,widest_impact,0.00169212962962965,,,,3,2,1,group_mask_cell,6,none_exhaustive_declared_grid
public_declared_value_grid,uniform_grid,2,clarifytrial_rule_v1,0.003955555555555583,,,,2,3,1,group_mask_cell,6,none_exhaustive_declared_grid
public_patient_profiles,heldout,3,authored_order,-0.009999999999999998,-0.04999999999999999,0.030000000000000006,0.625,1,16,3,base_patient,20,synthetic base-patient composition
public_patient_profiles,heldout,3,random_order_expectation,0.04233333333333332,0.00991249999999998,0.07574999999999998,0.0308837890625,14,2,4,base_patient,20,synthetic base-patient composition
public_patient_profiles,heldout,3,widest_impact,-0.009999999999999998,-0.05499999999999999,0.04,0.6875,2,14,4,base_patient,20,synthetic base-patient composition
public_patient_profiles,heldout,3,clarifytrial_rule_v1,-0.014999999999999996,-0.039999999999999994,0.009999999999999998,1.0,1,17,2,base_patient,20,synthetic base-patient composition
synthetic_graph_stress,similar_heldout,3,authored_order,0.1240433081513864,0.11788356999581444,0.13022953691307876,0.0,1282,486,32,synthetic_structure,1800,declared synthetic graph generator
synthetic_graph_stress,similar_heldout,3,random,0.12228603537016544,0.11617755329075799,0.1284955689018575,0.0,1292,478,30,synthetic_structure,1800,declared synthetic graph generator
synthetic_graph_stress,similar_heldout,3,widest_impact,0.016111635611325784,0.014558006206895733,0.017667148154712115,4.417401609369168e-59,607,1025,168,synthetic_structure,1800,declared synthetic graph generator
synthetic_graph_stress,similar_heldout,3,clarifytrial_rule_v1,0.016757845319529594,0.015201889150360519,0.0182891422351009,1.422485891286189e-60,609,1026,165,synthetic_structure,1800,declared synthetic graph generator
synthetic_graph_stress,shifted_heldout,3,authored_order,0.12296554286455903,0.11673983657314073,0.1291769368212292,5e-324,1277,486,37,synthetic_structure,1800,declared synthetic graph generator
synthetic_graph_stress,shifted_heldout,3,random,0.12434589983453405,0.11801802871071074,0.13074652983801321,3.368e-320,1281,478,41,synthetic_structure,1800,declared synthetic graph generator
synthetic_graph_stress,shifted_heldout,3,widest_impact,0.02007457272847742,0.01826885776578235,0.021835125283286082,4.665216369790596e-69,624,1025,151,synthetic_structure,1800,declared synthetic graph generator
synthetic_graph_stress,shifted_heldout,3,clarifytrial_rule_v1,0.020016634888225776,0.018195087336718666,0.021815287219617986,3.2059766776592486e-65,617,1026,157,synthetic_structure,1800,declared synthetic graph generator
public_declared_value_grid,heldout_kernel,3,authored_order,0.011799001865286022,,,,2,2,2,group_mask_cell,6,none_exhaustive_declared_grid
public_declared_value_grid,heldout_kernel,3,widest_impact,-0.0018384824256067467,,,,4,0,2,group_mask_cell,6,none_exhaustive_declared_grid
public_declared_value_grid,heldout_kernel,3,clarifytrial_rule_v1,-0.004051711004527447,,,,2,1,3,group_mask_cell,6,none_exhaustive_declared_grid
public_declared_value_grid,uniform_grid,3,authored_order,0.01850555555555557,,,,3,3,0,group_mask_cell,6,none_exhaustive_declared_grid
public_declared_value_grid,uniform_grid,3,widest_impact,0.004907523148148167,,,,4,1,1,group_mask_cell,6,none_exhaustive_declared_grid
public_declared_value_grid,uniform_grid,3,clarifytrial_rule_v1,0.0006167824074074235,,,,3,2,1,group_mask_cell,6,none_exhaustive_declared_grid
