suite,evaluation_distribution,budget,candidate_policy_id,baseline_policy_id,mean_difference,ci_95_lower,ci_95_upper,exact_sign_p,wins,ties,losses,cluster_unit,cluster_count,random_baseline_definition,inference_scope
public_patient_profiles,heldout,1,exact_decision_tree_expected_horizon_1_v1,random_order_expectation,0.027583333333333335,-0.03325416666666666,0.09041666666666667,0.480682373046875,11,2,7,base_patient,20,exact mean over all 120 possible initial fact orders,synthetic base-patient composition
public_patient_profiles,heldout,2,exact_decision_tree_expected_horizon_1_v1,random_order_expectation,0.0704166666666667,0.01558333333333336,0.12708541666666667,0.1670684814453125,13,1,6,base_patient,20,exact mean over all 120 possible initial fact orders,synthetic base-patient composition
public_patient_profiles,heldout,3,exact_decision_tree_expected_horizon_1_v1,random_order_expectation,0.07733333333333332,0.040583333333333325,0.11583749999999995,0.09625244140625,13,2,5,base_patient,20,exact mean over all 120 possible initial fact orders,synthetic base-patient composition
