split,action_budget,policy_id,patient_count,trial_count,mean_trial_status_recovery,mean_candidate_status_recovery,mean_confirmation_status_recovery,mean_final_status_matches_out_of_five,rescue_opportunity_count,confirmed_rescue_count,confirmed_rescue_rate,cleanup_opportunity_count,ineligible_cleanup_count,ineligible_cleanup_rate,mean_action_count,total_unsafe_decisions,mean_affected_trials,mean_shared_fact_fraction_ge2
heldout,0,no_questions,30,150,0.18666666666666668,0.5466666666666666,0.18666666666666668,0.9333333333333333,54.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,2.3066666666666666,0.37333333333333335
heldout,0,random_order_expectation,30,150,0.18666666666666668,0.5466666666666666,0.18666666666666668,0.9333333333333333,54.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,2.3066666666666666,0.37333333333333335
heldout,1,authored_order,30,150,0.6266666666666667,0.88,0.6266666666666667,3.1333333333333333,54.0,16.0,0.2962962962962963,68.0,50.0,0.7352941176470589,1.0,0.0,2.3066666666666666,0.37333333333333335
heldout,1,clarifytrial_exact_coverage_v3,30,150,0.7666666666666667,1.0,0.7666666666666667,3.8333333333333335,54.0,19.0,0.35185185185185186,68.0,68.0,1.0,1.0,0.0,2.3066666666666666,0.37333333333333335
heldout,1,clarifytrial_rule_v1,30,150,0.7666666666666667,1.0,0.7666666666666667,3.8333333333333335,54.0,19.0,0.35185185185185186,68.0,68.0,1.0,1.0,0.0,2.3066666666666666,0.37333333333333335
heldout,1,no_questions,30,150,0.18666666666666668,0.5466666666666666,0.18666666666666668,0.9333333333333333,54.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,2.3066666666666666,0.37333333333333335
heldout,1,random_order_expectation,30,150,0.40166666666666667,0.7205555555555556,0.40166666666666667,2.0083333333333333,54.0,6.166666666666667,0.11419753086419754,68.0,26.083333333333332,0.383578431372549,1.0,0.0,2.3066666666666666,0.37333333333333335
heldout,2,authored_order,30,150,0.8533333333333334,1.0,0.8533333333333334,4.266666666666667,54.0,32.0,0.5925925925925926,68.0,68.0,1.0,1.6333333333333333,0.0,2.3066666666666666,0.37333333333333335
heldout,2,clarifytrial_exact_coverage_v3,30,150,0.88,1.0,0.88,4.4,54.0,36.0,0.6666666666666666,68.0,68.0,1.0,1.4666666666666666,0.0,2.3066666666666666,0.37333333333333335
heldout,2,clarifytrial_rule_v1,30,150,0.88,1.0,0.88,4.4,54.0,36.0,0.6666666666666666,68.0,68.0,1.0,1.4666666666666666,0.0,2.3066666666666666,0.37333333333333335
heldout,2,no_questions,30,150,0.18666666666666668,0.5466666666666666,0.18666666666666668,0.9333333333333333,54.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,2.3066666666666666,0.37333333333333335
