routing_version,source_result_path,deterministic_reference_path,case_id,patient_id,synthetic_case_count,candidate_trial_count,model_ids,reasoning_efforts,model_call_count,input_tokens,output_tokens,thinking_tokens,total_tokens,total_model_latency_seconds,matcher_judge_call_count,matcher_judge_tokens,next_evidence_call_count,next_evidence_tokens,structured_rule_correction_count,structured_rule_correction_transitions,structured_rule_corrected_criterion_ids,structured_model_skip_event_count,final_trial_statuses_match_code_only,question_fact_order_matches_code_only,question_fact_order,final_trial_status_signature,independent_unit,independent_unit_count,interpretation
before_code_routing,runs\presentation-live-model-smoke-fixed-20260830\result.json,runs\presentation-deterministic-smoke-20260830\result.json,integrated-ui:source-chronic_pancreatitis-04,source-chronic_pancreatitis-04,1,5,gpt-5.6-sol,medium,5,68660,3999,591,72659,62.104,3,47875,2,24784,1,unknown→supports(1),NCT07439757:criterion:03,0,True,True,source-chronic_pancreatitis-04:age_years;source-chronic_pancreatitis-04:nct03434392_source_line_39,NCT03434392|retain|confirmed;NCT04996628|retain|confirmed;NCT05771675|remove|ineligible;NCT06651580|remove|ineligible;NCT07439757|remove|ineligible,single_synthetic_connectivity_case,1,실제 모델 호출과 사용량 기록이 전체 화면 흐름에 연결되는지 확인한 합성 환자 한 사례다. 모델 정확도나 비교 성능값이 아니다.
after_code_routing,runs\presentation-live-model-smoke-code-routed-20260830\result.json,runs\presentation-deterministic-smoke-code-routed-20260830\result.json,integrated-ui:source-chronic_pancreatitis-04,source-chronic_pancreatitis-04,1,5,gpt-5.6-sol,medium,2,23439,268,0,23707,43.485,0,0,2,23707,0,,,3,True,True,source-chronic_pancreatitis-04:age_years;source-chronic_pancreatitis-04:nct03434392_source_line_39,NCT03434392|retain|confirmed;NCT04996628|retain|confirmed;NCT05771675|remove|ineligible;NCT06651580|remove|ineligible;NCT07439757|remove|ineligible,single_synthetic_connectivity_case,1,실제 모델 호출과 사용량 기록이 전체 화면 흐름에 연결되는지 확인한 합성 환자 한 사례다. 모델 정확도나 비교 성능값이 아니다.
